"pitcher","role_key","inning","outs_when_up","score_gap","on_3b","on_2b","on_1b","Segmentation","Segmentation_tier2"
593140,"RP",8,0,-1,0,0,0,"A","A"
606149,"RP",7,0,3,0,0,0,"B1","B1"
641401,"RP",8,0,-2,0,0,0,"A","A"
621052,"RP",9,0,3,0,0,0,"B1","B1"
500779,"SP",1,0,0,0,0,0,"A","A"
607391,"RP",6,0,-5,0,0,0,"B2","B2"
493603,"RP",8,2,5,1,1,1,"B1","B1"
650556,"RP",6,0,2,0,0,0,"A","A"
607237,"RP",9,0,3,0,0,0,"B1","B1"
570666,"RP",7,0,7,0,0,0,"B1","B1"
571927,"SP",1,0,1,0,0,0,"A","A"
643316,"RP",6,0,-6,0,0,0,"B2","B2"
621129,"RP",5,0,-3,0,0,0,"B2","B2"
663474,"RP",6,0,-2,0,0,0,"A","A"
605538,"RP",6,0,1,0,0,0,"A","A"
677651,"SP",1,0,3,0,0,0,"B1","B1"
642207,"RP",7,0,-1,0,0,0,"A","A"
547973,"RP",9,0,7,0,0,0,"B1","B1"
621237,"RP",9,0,3,0,0,0,"B1","B1"
606625,"RP",7,0,1,0,0,0,"A","A"
656548,"RP",6,0,-3,0,0,0,"B2","B2"
446321,"RP",9,0,-3,0,0,0,"B2","B2"
519043,"SP",1,0,0,0,0,0,"A","A"
570488,"RP",9,0,9,0,0,0,"B1","B1"
456034,"RP",7,0,8,0,0,0,"B1","B1"
664141,"SP",1,0,2,0,0,0,"A","A"
592094,"RP",7,0,4,0,1,1,"B1","B1"
605488,"RP",8,2,-9,0,0,0,"B2","B2"
650530,"RP",7,0,-12,0,0,0,"B2","B2"
650382,"RP",8,1,7,1,1,1,"B1","B1"
663855,"RP",6,0,3,0,0,0,"B1","B1"
622503,"RP",5,0,-1,0,0,0,"A","A"
601713,"SP",1,0,0,0,0,0,"A","A"
543022,"RP",7,1,5,0,0,0,"B1","B1"
489265,"RP",8,0,-8,0,0,0,"B2","B2"
605130,"RP",7,0,3,0,0,0,"B1","B1"
543507,"RP",8,0,2,0,0,0,"A","A"
474463,"SP",1,0,0,0,0,0,"A","A"
593423,"SP",1,0,0,0,0,0,"A","A"
518553,"RP",7,2,-2,0,0,1,"A","A+"
594798,"SP",1,0,0,0,0,0,"A","A"
612434,"RP",7,0,2,0,0,0,"A","A"
670056,"RP",6,2,0,0,0,1,"A","A+"
641941,"RP",7,1,-1,0,1,0,"A","A++"
669432,"SP",1,0,0,0,0,0,"A","A"
656322,"RP",6,0,-2,0,0,0,"A","A"
605347,"SP",1,0,0,0,0,0,"A","A"
670970,"SP",1,0,0,0,0,0,"A","A"
676684,"RP",8,0,-6,0,0,0,"B2","B2"
543101,"SP",1,0,0,0,0,0,"A","A"
594056,"RP",9,0,-6,0,0,0,"B2","B2"
608716,"RP",6,0,-6,0,0,0,"B2","B2"
642233,"RP",6,0,-4,0,0,0,"B2","B2"
605177,"RP",7,2,1,0,0,1,"A","A+"
643511,"RP",8,0,1,0,0,0,"A","A"
571901,"RP",8,1,2,1,1,1,"A","A++"
656954,"SP",1,0,0,0,0,0,"A","A"
607074,"SP",1,0,0,0,0,0,"A","A"
518633,"SP",1,0,0,0,0,0,"A","A"
676969,"RP",7,1,-5,0,1,1,"B2","B2"
503569,"RP",9,0,5,0,0,0,"B1","B1"
621219,"RP",9,0,2,0,0,0,"A","A"
642397,"RP",8,0,-14,0,0,0,"B2","B2"
608371,"RP",8,0,1,0,0,0,"A","A"
643256,"RP",8,0,-3,0,0,0,"B2","B2"
502706,"RP",5,2,-7,0,1,1,"B2","B2"
595928,"RP",5,0,-3,0,0,0,"B2","B2"
656756,"SP",1,0,0,0,0,0,"A","A"
605612,"RP",9,0,-14,0,0,0,"B2","B2"
657612,"RP",8,0,-1,0,0,0,"A","A"
607572,"RP",7,0,0,0,0,0,"A","A"
519141,"RP",9,0,-1,0,0,0,"A","A"
459429,"RP",9,0,1,0,0,0,"A","A"
594965,"SP",1,0,3,0,0,0,"B1","B1"
663531,"SP",1,0,0,0,0,0,"A","A"
669135,"RP",6,1,-7,1,1,1,"B2","B2"
608379,"SP",1,0,0,0,0,0,"A","A"
642130,"RP",8,0,2,1,1,1,"A","A++"
533167,"SP",1,0,1,0,0,0,"A","A"
656629,"RP",6,0,6,0,0,0,"B1","B1"
592254,"SP",1,0,0,0,0,0,"A","A"
640462,"RP",3,2,-7,1,0,1,"B2","B2"
665854,"RP",5,0,1,0,0,0,"A","A"
501925,"RP",8,0,2,0,0,0,"A","A"
592773,"RP",4,1,2,1,1,1,"A","A++"
542888,"RP",5,2,-1,1,1,1,"A","A++"
592866,"SP",1,0,0,0,0,0,"A","A"
669160,"SP",1,0,0,0,0,0,"A","A"
672335,"RP",6,0,0,0,0,1,"A","A+"
614179,"RP",8,0,6,0,0,0,"B1","B1"
548384,"RP",5,0,2,0,0,0,"A","A"
592314,"SP",1,0,0,0,0,0,"A","A"
669735,"RP",4,1,-4,0,1,1,"B2","B2"
445213,"RP",4,1,-2,1,1,1,"A","A++"
489334,"RP",6,0,-1,0,0,0,"A","A"
675916,"RP",9,2,-3,0,1,1,"B2","B2"
570632,"SP",1,0,0,0,0,0,"A","A"
641835,"RP",8,2,5,0,0,1,"B1","B1"
592473,"RP",7,0,-7,0,0,0,"B2","B2"
542882,"RP",6,0,5,0,0,0,"B1","B1"
594577,"RP",9,0,2,0,0,0,"A","A"
