"","pitcher","game_pk","Segmentation_tier2","game","performance","inning","p_per_inning"
"1",425844,716661,"A",1,29,3.333,8.7008700870087
"2",425844,716739,"A",1,34,3.667,9.27188437414781
"3",425844,716888,"B2",1,-4,3.667,-1.09080992637033
"4",445276,716612,"A",1,6,0,Inf
"5",445276,716716,"A++",1,16,0,Inf
"6",445276,716722,"B1",1,0,0.667,0
"7",445276,716739,"B1",1,10,0.667,14.9925037481259
"8",445276,716794,"B2",1,-2,0.667,-2.99850074962519
"9",445276,716878,"A",1,0,0,NA
"10",445276,716928,"A",1,5,0.667,7.49625187406297
"11",445276,716993,"A",1,-2,0.667,-2.99850074962519
"12",445276,717014,"B1",1,3,0.667,4.49775112443778
"13",445276,717051,"A",1,-4,0.667,-5.99700149925038
"14",445276,717059,"A",1,14,0.667,20.9895052473763
"15",445276,717089,"A",1,-4,0.667,-5.99700149925038
"16",445276,717167,"A",1,-2,0.667,-2.99850074962519
"17",445276,717220,"A",1,-4,0.667,-5.99700149925038
"18",445276,717221,"A",1,13,0,Inf
"19",445276,717242,"A",1,4,0.667,5.99700149925038
"20",445276,717309,"B1",1,3,0,Inf
"21",445276,717344,"A",1,1,0.667,1.49925037481259
"22",445276,717419,"B1",1,-2,0,-Inf
"23",445276,717435,"A",1,1,0.667,1.49925037481259
"24",445276,717484,"A",1,0,0.667,0
"25",445276,717547,"A++",1,6,1,6
"26",445276,717569,"A",1,17,0.667,25.4872563718141
"27",445276,717629,"A",1,4,0.667,5.99700149925038
"28",445276,717645,"A",1,-2,0.667,-2.99850074962519
"29",445276,717665,"A",1,-2,0.667,-2.99850074962519
"30",445276,717715,"B1",1,-1,0.667,-1.49925037481259
"31",445276,717794,"A",1,-2,0.667,-2.99850074962519
"32",445276,717810,"A",1,-2,0.667,-2.99850074962519
"33",445276,717841,"A",1,4,0.667,5.99700149925038
"34",445276,717873,"A",1,-2,0.667,-2.99850074962519
"35",445276,717885,"A",1,13,0.667,19.4902548725637
"36",445276,717918,"B1",1,0,0.667,0
"37",445276,717932,"B1",1,3,0.667,4.49775112443778
"38",445276,717991,"A",1,-2,0.667,-2.99850074962519
"39",445276,718034,"B2",1,3,0.667,4.49775112443778
"40",445276,718092,"A",1,6,0.667,8.99550224887557
"41",445276,718196,"A",1,9,0.667,13.4932533733133
"42",445276,718211,"A",1,25,0,Inf
"43",445276,718220,"B1",1,4,0.667,5.99700149925038
"44",445276,718284,"B1",1,1,0.667,1.49925037481259
"45",445276,718301,"A",1,0,0.667,0
"46",445276,718385,"A",1,7,0.667,10.4947526236882
"47",445276,718435,"A",1,0,0.334,0
"48",445276,718483,"A",1,-4,0.667,-5.99700149925038
"49",445276,718524,"A",1,-4,0.667,-5.99700149925038
"50",445276,718576,"A",1,0,0.667,0
"51",445276,718580,"A",1,-3,0.667,-4.49775112443778
"52",445276,718654,"B1",1,8,0.667,11.9940029985008
"53",445276,718690,"B1",1,0,0.667,0
"54",445276,718761,"A",1,2,0.667,2.99850074962519
"55",445926,716354,"A",1,6,0.667,8.99550224887557
"56",445926,716394,"A",1,12,0.667,17.9910044977511
"57",445926,716412,"A++",1,1,0.667,1.49925037481259
"58",445926,716467,"A+",1,3,0,Inf
"59",445926,716509,"B2",1,6,2,3
"60",445926,717770,"A",1,3,0,Inf
"61",445926,717816,"A++",1,-6,1.667,-3.59928014397121
"62",445926,717840,"A",1,5,0.667,7.49625187406297
"63",445926,717872,"A",1,0,0.667,0
"64",445926,717901,"B1",1,3,0.667,4.49775112443778
"65",445926,717949,"A++",1,0,0.334,0
"66",445926,717997,"A",1,-6,0.667,-8.99550224887557
"67",445926,718019,"A",1,0,0.667,0
"68",445926,718042,"A",1,3,0.333,9.009009009009
"69",445926,718126,"A",1,5,1.333,3.75093773443361
"70",445926,718181,"A",1,2,0.667,2.99850074962519
"71",445926,718192,"A",1,1,0.667,1.49925037481259
"72",445926,718220,"A",1,-4,0.667,-5.99700149925038
"73",445926,718277,"A++",1,1,0.667,1.49925037481259
"74",445926,718298,"B2",1,-4,0.667,-5.99700149925038
"75",445926,718321,"B1",1,4,0.667,5.99700149925038
"76",445926,718352,"A++",1,0,0.334,0
"77",445926,718410,"A++",1,4,0,Inf
"78",445926,718429,"B1",1,17,0.667,25.4872563718141
"79",445926,718489,"B1",1,18,0,Inf
"80",445926,718519,"A",1,-1,0.667,-1.49925037481259
"81",445926,718533,"A",1,6,0.333,18.018018018018
"82",445926,718563,"B1",1,4,0.334,11.9760479041916
"83",445926,718620,"A",1,1,0.667,1.49925037481259
"84",445926,718636,"A+",1,0,0.334,0
"85",445926,718676,"A",1,-4,0.667,-5.99700149925038
"86",445926,718697,"B1",1,0,0,NA
"87",445926,718711,"B1",1,-2,0.667,-2.99850074962519
"88",445926,718743,"B2",1,-2,0.667,-2.99850074962519
"89",445926,718780,"B1",1,4,1,4
"90",446372,717683,"B1",1,44,2.667,16.4979377577803
"91",446372,717742,"B1",1,17,1.667,10.1979604079184
"92",446372,717788,"A",1,14,1.667,8.39832033593281
"93",446372,717842,"A",1,66,3.333,19.8019801980198
"94",446372,717904,"A",1,10,1.667,5.99880023995201
"95",446372,717918,"B2",1,-2,0.667,-2.99850074962519
"96",448179,716356,"A++",1,0,1.667,0
"97",448179,716444,"B1",1,-2,0.667,-2.99850074962519
"98",448179,716608,"B2",1,11,1.667,6.59868026394721
"99",448179,716640,"B2",1,12,2.667,4.49943757030371
"100",448179,716857,"B2",1,18,2.667,6.74915635545557
"101",453178,716575,"B2",1,16,1,16
"102",453178,716594,"B1",1,-2,0.667,-2.99850074962519
"103",453178,716630,"B1",1,13,0.667,19.4902548725637
"104",453178,716665,"B2",1,2,1.333,1.50037509377344
"105",453178,716705,"B2",1,15,1,15
"106",453178,718239,"B2",1,8,1,8
"107",453178,718325,"B2",1,15,1.334,11.2443778110945
"108",453178,718356,"B1",1,-2,0.667,-2.99850074962519
"109",453178,718434,"B1",1,7,0,Inf
"110",453178,718469,"B1",1,4,0.667,5.99700149925038
"111",453178,718522,"B1",1,-2,0.667,-2.99850074962519
"112",453178,718562,"A",1,12,0.333,36.036036036036
"113",453178,718595,"B2",1,-2,0.667,-2.99850074962519
"114",453178,718669,"A",1,4,0.333,12.012012012012
"115",453178,718675,"A",1,0,0.667,0
"116",453178,718726,"A",1,-6,0.667,-8.99550224887557
"117",453268,716424,"B2",1,8,0.667,11.9940029985008
"118",453268,716449,"A",1,4,0.667,5.99700149925038
"119",453268,716526,"B2",1,-2,1,-2
"120",453268,716759,"B2",1,17,0.667,25.4872563718141
"121",453268,716812,"B2",1,17,0.667,25.4872563718141
"122",453268,716837,"A",1,0,0.667,0
"123",453268,716898,"A++",1,25,0.334,74.8502994011977
"124",453268,716977,"A",1,12,0.667,17.9910044977511
"125",453268,717007,"B2",1,3,1,3
"126",453268,717045,"A++",1,6,0.334,17.9640718562874
"127",453268,717065,"A",1,-6,0.667,-8.99550224887557
"128",453268,717086,"B2",1,-4,0.667,-5.99700149925038
"129",453268,717158,"B2",1,33,0.333,99.099099099099
"130",453268,717179,"A",1,6,0.333,18.018018018018
"131",453268,717199,"A",1,1,0.667,1.49925037481259
"132",453268,717257,"B1",1,15,0.667,22.4887556221889
"133",453268,717306,"A",1,-4,0.667,-5.99700149925038
"134",453268,717319,"B1",1,4,0.667,5.99700149925038
"135",453268,717355,"A",1,-2,0.667,-2.99850074962519
"136",453268,717378,"A",1,9,0.333,27.027027027027
"137",453268,717410,"B1",1,-1,0.667,-1.49925037481259
"138",453268,717448,"B1",1,0,0.667,0
"139",453268,717489,"A++",1,0,1,0
"140",453268,717544,"A",1,3,1.333,2.25056264066016
"141",453268,717578,"B1",1,7,0.667,10.4947526236882
"142",453268,717616,"A",1,1,0.667,1.49925037481259
"143",453268,717644,"A",1,-2,0.667,-2.99850074962519
"144",453268,717669,"A",1,24,0.667,35.9820089955023
"145",453268,717701,"A",1,4,0.667,5.99700149925038
"146",453268,717724,"B2",1,-4,0.667,-5.99700149925038
"147",453268,717788,"A",1,-2,0.667,-2.99850074962519
"148",453268,717794,"A",1,9,0.667,13.4932533733133
"149",453268,717819,"A",1,7,0.667,10.4947526236882
"150",453268,717846,"A+",1,-2,0,-Inf
"151",453268,717869,"B2",1,6,0.667,8.99550224887557
"152",453268,717923,"B1",1,7,0.667,10.4947526236882
"153",453268,717955,"B2",1,0,1,0
"154",453268,717982,"B1",1,7,1,7
"155",453268,718033,"A",1,5,1.333,3.75093773443361
"156",453268,718100,"B2",1,4,1.333,3.00075018754689
"157",453268,718145,"A",1,4,0.667,5.99700149925038
